# Energy_meV Original Background Corrected FinalWeight
-1.130415837159188328e+02 3.039378995673915721e-06 nan nan nan
-1.121225464499357543e+02 3.088128480647304799e-06 nan nan nan
-1.112035091839526615e+02 3.410039705861872855e-06 nan nan nan
-1.102844719179695829e+02 4.231987544859901089e-06 nan nan nan
-1.093654346519865044e+02 5.683946277599450259e-06 nan nan nan
-1.084463973860034258e+02 7.500764062240507922e-06 nan nan nan
-1.075273601200203473e+02 9.423466902614082867e-06 nan nan nan
-1.066083228540372545e+02 1.087143538896184725e-05 nan nan nan
-1.056892855880541902e+02 1.137627819329662312e-05 nan nan nan
-1.047702483220711116e+02 1.098697274242783594e-05 nan nan nan
-1.038512110560880330e+02 9.690093300599726038e-06 nan nan nan
-1.029321737901049403e+02 8.331053860504103689e-06 nan nan nan
-1.020131365241218617e+02 7.376239667142242875e-06 nan nan nan
-1.010940992581387832e+02 6.240707463981937229e-06 nan nan nan
-1.001750619921557046e+02 5.142243628297211102e-06 nan nan nan
-9.925602472617262606e+01 4.405476060216944177e-06 nan nan nan
-9.833698746018954751e+01 3.904415689233257518e-06 nan nan nan
-9.741795019420646895e+01 3.668937843409031245e-06 nan nan nan
-9.649891292822339040e+01 3.425474465632583771e-06 nan nan nan
-9.557987566224031184e+01 3.331200157339048242e-06 nan nan nan
-9.466083839625723328e+01 3.339484335913964212e-06 nan nan nan
-9.374180113027414052e+01 3.304267680089462279e-06 nan nan nan
-9.282276386429106196e+01 3.340228456386806176e-06 nan nan nan
-9.190372659830798341e+01 3.402691404984632810e-06 nan nan nan
-9.098468933232491906e+01 3.500189970863654064e-06 nan nan nan
-9.006565206634182630e+01 3.579714539773583457e-06 nan nan nan
-8.914661480035874774e+01 3.678248923886468163e-06 nan nan nan
-8.822757753437566919e+01 3.885774946291768640e-06 nan nan nan
-8.730854026839259063e+01 4.125906081364463133e-06 nan nan nan
-8.638950300240951208e+01 4.312918272183217496e-06 nan nan nan
-8.547046573642641931e+01 4.479819956592656084e-06 nan nan nan
-8.455142847044334076e+01 4.576516989036458671e-06 nan nan nan
-8.363239120446027641e+01 4.827198222296008192e-06 nan nan nan
-8.271335393847719786e+01 5.044776046278807774e-06 nan nan nan
-8.179431667249410509e+01 5.327075559774904026e-06 nan nan nan
-8.087527940651102654e+01 5.615250234698060969e-06 nan nan nan
-7.995624214052794798e+01 6.094751580242278295e-06 nan nan nan
-7.903720487454486943e+01 6.511916759463080307e-06 nan nan nan
-7.811816760856179087e+01 7.135075710561390428e-06 nan nan nan
-7.719913034257869811e+01 7.726412942158635702e-06 nan nan nan
-7.628009307659563376e+01 8.347857629623075401e-06 nan nan nan
-7.536105581061255521e+01 9.051050506385701822e-06 nan nan nan
